"","Variable","Estimate","StError","tvalue","pvalue","rsquare","Adjrsquare","Fstat","Corr.P"
"1","CTMax_Overall",-0.0173066226370041,0.014774062268073,-1.1714193647609,0.245912477120452,0.0216533878104846,0.00587360374291179,1.37222332813679,1
"2","CTMin_Overall",0.00260808040143398,0.00821671208257665,0.317411681853177,0.751980846752279,0.001596655752843,-0.0142510163780643,0.100750175776863,1
"3","TMax",-0.00636473717235289,0.00767208624747929,-0.829596666023413,0.409803272733788,0.0104772288992193,-0.00474619834848489,0.688230628277167,1
"4","TMin",4.61140001927706e-05,0.00221269715513702,0.0208406288613478,0.983436631546364,6.68198321751337e-06,-0.0153778306016561,0.000434331811336243,1
"5","Precip",2.96093559561408e-05,4.03230551525024e-05,0.734303386590072,0.465672242024235,0.00905624278296186,-0.00773941411902168,0.539201463557657,1
"6","Dev_Time",1.52794889641977e-05,0.00656758352778798,0.00232650089634169,0.998148404121738,5.46727891391308e-08,-0.0101009548759705,5.41260642069624e-06,1
"7","Haploid_Number",0.00686211270609239,0.0160858075622714,0.426594230941018,0.670320930984347,0.00127992755830152,-0.00575331238847099,0.181982637872161,1
