"","Variable","Lower","Upper"
"1","Bio1",-0.113214470594742,-0.0100300032195211
"2","Bio2",-0.211023134978927,0.0910963989932217
"3","Bio3",-0.163944443107696,0.0180765651839545
"4","Bio4",-0.0135890978451362,0.06384556173789
"5","Bio5",-0.456315346455374,-0.0275378847794266
"6","Bio6",-0.0961705480233384,-0.0029071109394552
"7","Bio7",-0.0435793216448557,0.129697411633088
"8","Bio8",-0.0358064472258934,0.0442078868421398
"9","Bio9",-0.0975737805620759,-0.0120847781721116
"10","Bio10",-0.374177402543699,-0.0363949732673375
"11","Bio11",-0.0982331971009307,-0.00847103636125892
"12","Bio12",-0.12229086924016,0.0370791159246237
"13","Bio13",-0.117800761608665,0.0364096871455568
"14","Bio14",-0.0513896237014694,0.0192640284320532
"15","Bio15",-0.0254622671886209,0.0947264251671281
"16","Bio16",-0.108644581401568,0.044560401653501
"17","Bio17",-0.0590821305138745,0.0222233789245888
"18","Bio18",-0.052782695318295,0.043773945996778
"19","Bio19",-0.0807462150000664,0.00582315756736107
