"","Data_set","Variable","Estimate","St. Error","t-value","p-value","r-square","Adj. r-square","F-stat","Corr.P","FDR"
"1","1","Bio1","-0.0109430599471645","0.0321030370860043","-0.340873043190523","0.734205793459843","0.00163386739831488","-0.0124276274270609","0.116194431573971","1","0.880968530915614"
"2","1","Bio2","0.0555251287824809","0.0783163521478147","0.708985125835311","0.48065531046779","0.00702994698795639","-0.00695554671643861","0.502659908655724","1","0.829740384753475"
"3","1","Bio3","-0.0450557728920976","0.0508922275191086","-0.885317367473853","0.378974047306076","0.0109187168250858","-0.00301200547315239","0.783786841150846","1","0.829740384753475"
"4","1","Bio4","0.0288012024484398","0.0204974093543605","1.40511427324901","0.164347716203894","0.0270553451430377","0.0133518992999819","1.97434612088812","1","0.829740384753475"
"5","1","Bio5","0.0104046506008226","0.125883528944066","0.0826529943043281","0.934360041559521","9.62092987601055e-05","-0.0139869426829475","0.0068315174674725","1","0.943934523637326"
"6","1","Bio6","-0.0164499637087925","0.0322325587273672","-0.510352400128433","0.611387651923613","0.00365503638174739","-0.0103779912748478","0.260459572316857","1","0.829740384753475"
"7","1","Bio7","0.053754779536258","0.0448485190717287","1.19858538584708","0.23467458288551","0.0198326093408917","0.00602743482456625","1.43660692716621","1","0.829740384753475"
"8","1","Bio8","0.00299654640746086","0.0424591139937913","0.0705748689880583","0.943934523637326","7.01473625612275e-05","-0.0140133716886703","0.00498081213268167","1","0.943934523637326"
"9","1","Bio9","-0.0172214855920496","0.0309652695944297","-0.556154873431088","0.579853560988889","0.00433755775874427","-0.00968585692071011","0.309308243241157","1","0.829740384753475"
"10","1","Bio10","-0.0149985600827712","0.0968831231026965","-0.154810864910627","0.877409676996999","0.000337441079509493","-0.0137423132714833","0.0239664038943761","1","0.943934523637326"
"11","1","Bio11","-0.0180875090907526","0.0289991153809212","-0.62372623623728","0.534806196846829","0.00544949824498378","-0.00855825530086163","0.389034417770728","1","0.829740384753475"
"12","1","Bio12","-0.0263325782637499","0.033413669760629","-0.788078006767678","0.433274382629539","0.0086715678953794","-0.00529080438778418","0.621066944750921","1","0.829740384753475"
"13","1","Bio13","-0.0257036111726347","0.0322887403931678","-0.796054936168199","0.428653735845923","0.00884644281639382","-0.00511346643971322","0.633703461397767","1","0.829740384753475"
"14","1","Bio14","-0.0203622742512871","0.0176013820241106","-1.1568565595244","0.251208438776813","0.018500805008737","0.00467687268491646","1.33831709931461","1","0.829740384753475"
"15","1","Bio15","0.0109325719262715","0.033061962660951","0.330669175281109","0.741868236560517","0.00153766158210215","-0.0125251882547697","0.109342103481082","1","0.880968530915614"
"16","1","Bio16","-0.0193161323858515","0.0331290305021759","-0.583057581011398","0.5617019625325","0.00476529789413532","-0.0092520922763697","0.339956142774872","1","0.829740384753475"
"17","1","Bio17","-0.0226913816509212","0.0202072550068492","-1.12293241428536","0.265249082891929","0.0174503204328335","0.00361159255160592","1.26097720705275","1","0.829740384753475"
"18","1","Bio18","-0.015843073368377","0.0229027387733273","-0.691754533166486","0.491347460789972","0.00669465883094233","-0.00729555724186137","0.478524334156386","1","0.829740384753475"
"19","1","Bio19","-0.0244248093614966","0.0208330464926585","-1.17240699146444","0.244952500410773","0.0189920127810262","0.00517499887653372","1.3745381536347","1","0.829740384753475"
"20","2","Bio1","-0.0642872933593295","0.0306452174332252","-2.09779204534636","0.0394839633424644","0.0583645725974292","0.0451021017889424","4.40073146551852","0.750195303506824","0.125996558968694"
"21","2","Bio2","0.0294433516384855","0.0896612876736777","0.32838421577933","0.743587711846943","0.00151651630742994","-0.0125466313502118","0.107836193173004","1","0.834346803192867"
"22","2","Bio3","-0.0798672345594263","0.0477991228380223","-1.67089330969679","0.0991454286869515","0.0378345731798033","0.0242829474499414","2.79188445238952","1","0.144904857311698"
"23","2","Bio4","0.0389379301126756","0.0190852902293683","2.04020633926532","0.0450505232655212","0.0553792798794505","0.0420747626946542","4.16244190677842","0.855959942044903","0.125996558968694"
"24","2","Bio5","-0.215957085763866","0.117443878725859","-1.83881091212901","0.0701249685192952","0.0454580513379284","0.0320137985398711","3.38122557056477","1","0.125996558968694"
"25","2","Bio6","-0.0667230342599007","0.0298230738605878","-2.23729567823247","0.0284072965615366","0.0658569772169823","0.052700033234123","5.00549195183771","0.539738634669195","0.125996558968694"
"26","2","Bio7","0.0752163980188964","0.0440151348793123","1.70887578159505","0.0918421931681104","0.0395054965672913","0.0259774049696475","2.92025643692212","1","0.144904857311698"
