"","Species","GS","lat","long"
"1","Chymomyza_amoena",395.2,30.411783,-97.648706
"2","Chymomyza_amoena",395.2,30.454586,-97.798961
"3","Chymomyza_amoena",395.2,32.752497,-97.192505
"4","Chymomyza_amoena",395.2,32.539794,-92.069459
"5","Chymomyza_amoena",395.2,36.813322,-85.650139
"6","Chymomyza_amoena",395.2,30.290808,-91.232753
"7","Chymomyza_amoena",395.2,30.61496,-92.058072
"8","Chymomyza_amoena",395.2,30.366422,-97.673551
"9","Chymomyza_amoena",395.2,30.649516,-96.390244
"10","Chymomyza_amoena",395.2,35.038954,-85.274228
"11","Chymomyza_amoena",395.2,36.900941,-76.122239
"12","Chymomyza_amoena",395.2,35.653583,-82.18215
"13","Chymomyza_amoena",395.2,36.183329,-80.069611
"14","Chymomyza_amoena",395.2,35.913308,-79.048705
"15","Chymomyza_amoena",395.2,35.796469,-91.426911
"16","Chymomyza_amoena",395.2,33.392497,-86.773159
"17","Chymomyza_amoena",395.2,36.231911,-80.301523
"18","Chymomyza_amoena",395.2,35.784613,-78.656212
"19","Chymomyza_amoena",395.2,32.685504,-94.178156
"20","Chymomyza_amoena",395.2,40.391664,-86.877101
"21","Chymomyza_amoena",395.2,37.55539,-84.239278
"22","Chymomyza_amoena",395.2,42.223237,-83.016381
"23","Chymomyza_amoena",395.2,42.223247,-83.01635
"24","Chymomyza_amoena",395.2,42.070892,-71.594619
"25","Chymomyza_amoena",395.2,40.193695,-74.92294
"26","Chymomyza_amoena",395.2,33.001789,-96.847397
"27","Chymomyza_amoena",395.2,42.223267,-83.016358
"28","Chymomyza_amoena",395.2,43.682983,-79.412531
"29","Chymomyza_amoena",395.2,37.166857,-76.451787
"30","Chymomyza_amoena",395.2,42.448814,-71.391166
"31","Chymomyza_amoena",395.2,39.007615,-77.131468
"32","Chymomyza_amoena",395.2,39.20518,-74.869166
"33","Chymomyza_amoena",395.2,40.391691,-86.877199
"34","Chymomyza_amoena",395.2,43.005662,-81.269671
"35","Chymomyza_amoena",395.2,41.045872,-75.284989
"36","Chymomyza_amoena",395.2,35.020058,-92.484494
"37","Chymomyza_amoena",395.2,43.228631,-79.745438
"38","Chymomyza_amoena",395.2,41.347095,-72.902486
"39","Chymomyza_amoena",395.2,35.191358,-80.720794
"40","Chymomyza_amoena",395.2,40.045338,-75.33677
"41","Chymomyza_amoena",395.2,33.035321,-96.728032
"42","Chymomyza_amoena",395.2,42.029406,-82.825781
"43","Chymomyza_amoena",395.2,38.658609,-77.373003
"44","Chymomyza_amoena",395.2,39.219592,-76.071813
"45","Chymomyza_amoena",395.2,40.789122,-73.960563
"46","Chymomyza_amoena",395.2,38.984477,-77.009283
"47","Chymomyza_amoena",395.2,33.159823,-96.568195
"48","Chymomyza_amoena",395.2,43.022212,-77.063503
"49","Chymomyza_amoena",395.2,33.128518,-93.177966
"50","Chymomyza_amoena",395.2,30.611377,-96.347807
"51","Chymomyza_amoena",395.2,39.326885,-94.935801
"52","Chymomyza_amoena",395.2,32.739966,-97.051943
"53","Chymomyza_amoena",395.2,40.730747,-77.882952
"54","Chymomyza_amoena",395.2,40.730601,-77.882823
"55","Chymomyza_amoena",395.2,43.476672,-80.572611
"56","Chymomyza_amoena",395.2,42.085878,-82.44615
"57","Chymomyza_amoena",395.2,39.010531,-77.130185
"58","Chymomyza_amoena",395.2,35.883697,-78.659871
"59","Chymomyza_amoena",395.2,40.738581,-77.753522
"60","Chymomyza_amoena",395.2,41.182169,-96.02512
"61","Chymomyza_amoena",395.2,38.897008,-77.166931
"62","Chymomyza_amoena",395.2,43.191518,-79.603101
"63","Chymomyza_amoena",395.2,40.036585,-75.338672
"64","Chymomyza_amoena",395.2,32.784538,-96.708992
"65","Chymomyza_amoena",395.2,38.669575,-90.391762
"66","Chymomyza_amoena",395.2,38.69329,-77.255757
"67","Chymomyza_amoena",395.2,43.898073,-79.28094
"68","Chymomyza_amoena",395.2,43.897878,-79.280525
"69","Chymomyza_amoena",395.2,38.229763,-86.725258
"70","Chymomyza_amoena",395.2,40.004678,-74.060347
"71","Chymomyza_amoena",395.2,39.326875,-94.935794
"72","Chymomyza_amoena",395.2,41.932505,-82.511567
"73","Chymomyza_amoena",395.2,39.311927,-76.776436
"74","Chymomyza_amoena",395.2,38.84739,-92.278548
"75","Chymomyza_amoena",395.2,38.313194,-83.816967
"76","Chymomyza_amoena",395.2,42.438247,-76.459958
"77","Chymomyza_amoena",395.2,43.731679,-79.481343
"78","Chymomyza_amoena",395.2,42.322457,-71.114998
"79","Chymomyza_amoena",395.2,43.17977,-80.577018
"80","Chymomyza_amoena",395.2,30.516247,-97.728646
"81","Chymomyza_amoena",395.2,44.224489,-72.292783
"82","Chymomyza_amoena",395.2,42.999359,-81.308991
"83","Chymomyza_amoena",395.2,48.015883,37.80285
