"","species","lat","long","ref","gbifID","key"
"25","Drosophila melanogaster","42.873922","-8.558297","https://www.inaturalist.org/observations/260302661","5063657182","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"26","Drosophila suzukii","52.55","5.9",NA,"5061351063","8a863029-f435-446a-821e-275f4f641165"
"27",NA,"51.098186","7.07276","https://enjoynature.net/?gebiet=-504438946&datum=06.01.25&art=1267167551","5018338586","6ac3f774-d9fb-4796-b3e9-92bf6c81c084"
"28","Drosophila melanogaster","60.14467","15.18753",NA,"5004599332","38b4c89f-584c-41bb-bd8f-cd1def33e92f"
"29","Drosophila melanogaster","65.61194","22.17644",NA,"5052013808","38b4c89f-584c-41bb-bd8f-cd1def33e92f"
"30","Drosophila suzukii","50.090523","8.695509","https://www.inaturalist.org/observations/260418529","5063746744","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"31","Drosophila suzukii","51.543669","-0.063937","https://www.inaturalist.org/observations/260646127","5063823253","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"32","Drosophila suzukii","51.528176","-0.045147","https://www.inaturalist.org/observations/261138916","5063998005","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"33","Drosophila suzukii","49.019006","-123.086476","https://www.inaturalist.org/observations/261169256","5064032029","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"34","Drosophila suzukii","51.527777","-0.038706","https://www.inaturalist.org/observations/261173466","5064018092","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"35","Drosophila suzukii","51.528829","-0.038584","https://www.inaturalist.org/observations/261191567","5064083101","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"36","Drosophila hydei","55.672136","12.493742",NA,"5061923242","963a6b96-4d22-4428-86e4-afee52cf4a8e"
"37","Drosophila melanogaster","63.81372","20.30273",NA,"5062226504","38b4c89f-584c-41bb-bd8f-cd1def33e92f"
"38","Drosophila suzukii","52.758497","-1.236092",NA,"4596115426","5e43a220-a91d-485b-b608-58fd22693be7"
"39","Drosophila suzukii","50.080832","8.665274","https://www.inaturalist.org/observations/195471587","4607175499","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"40","Drosophila suzukii","30.698837","-88.160811","https://www.inaturalist.org/observations/195514800","4507923262","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"41","Drosophila busckii","40.60058","-73.857979","https://www.inaturalist.org/observations/195607209","4508012584","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"42","Drosophila suzukii","48.729797","-122.484997","https://www.inaturalist.org/observations/195780253","4510332133","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"43","Drosophila suzukii","50.090458","8.693176","https://www.inaturalist.org/observations/195939801","4510387624","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"44","Drosophila immigrans","20.782982","-103.423872","https://www.inaturalist.org/observations/196138707","4510201355","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"45","Drosophila melanogaster","51.612645","-3.969653","https://www.inaturalist.org/observations/196195225","4607309227","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"46",NA,"50.381987","-4.125831","https://www.inaturalist.org/observations/196373034","4516560579","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"47",NA,"50.382107","-4.125487","https://www.inaturalist.org/observations/196373052","4512334456","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"48","Drosophila suzukii","33.035321","-96.728032","https://www.inaturalist.org/observations/196735037","4512378033","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"49","Drosophila suzukii","36.000462","-84.019723","https://www.inaturalist.org/observations/196853404","4535603078","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"50","Drosophila melanogaster","48.894062","9.195464","https://www.inaturalist.org/observations/197021032","4516490802","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
